0	-0.01
1	0.02
2	-0.01
3	0.04
4	0.035
5	0.005
6	-0.04
7	0.03
8	-0.015
9	0.085
10	0.055
11	0.0
12	-0.015
13	0.04
14	0.005
15	-0.05
16	0.115
17	0.055
18	0.05
19	0.0
20	0.005
21	-0.105
22	0.015
23	-0.03
24	-0.005
25	0.055
26	0.04
27	0.04
28	0.0
29	-0.02
30	0.065
31	0.035
32	0.005
33	0.015
34	0.055
35	0.005
36	0.02
37	-0.01
38	-0.025
39	0.035
40	-0.005
41	-0.04
42	0.025
43	0.0
44	-0.03
45	0.005
46	0.045
47	-0.005
48	0.09
49	-0.075
50	-0.065
51	-0.055
52	0.045
53	0.085
54	0.005
55	0.105
56	-0.07
57	-0.02
58	0.035
59	0.02
60	-0.075
61	-0.055
62	0.0
63	0.025
64	0.03
65	-0.025
66	-0.05
67	-0.03
68	-0.075
69	-0.04
70	-0.03
71	0.075
72	0.065
73	-0.015
74	-0.02
75	0.02
76	0.0
77	0.01
78	-0.055
79	-0.04
80	0.025
81	0.055
82	-0.05
83	-0.045
84	0.0
85	-0.01
86	-0.06
87	-0.06
88	-0.105
89	0.06
90	-0.03
91	-0.07
92	0.005
93	0.07
94	0.045
95	0.135
96	0.03
97	0.035
98	-0.02
99	0.03
