0	-0.035
1	0.1
2	-0.005
3	0.03
4	-0.145
5	0.035
6	0.06
7	-0.03
8	0.05
9	0.045
10	0.025
11	-0.05
12	0.035
13	0.0
14	0.035
15	-0.055
16	0.03
17	0.025
18	0.085
19	-0.03
20	0.02
21	0.035
22	0.015
23	-0.04
24	0.05
25	-0.01
26	-0.065
27	-0.045
28	0.045
29	0.005
30	0.11
31	0.045
32	-0.02
33	-0.01
34	-0.055
35	0.02
36	0.015
37	0.01
38	0.045
39	-0.005
40	0.085
41	0.025
42	0.01
43	-0.055
44	-0.105
45	-0.015
46	0.015
47	0.025
48	-0.04
49	-0.125
50	-0.15
51	-0.085
52	0.055
53	-0.06
54	-0.01
55	0.035
56	-0.065
57	-0.03
58	-0.045
59	0.02
60	0.01
61	0.01
62	0.0
63	-0.015
64	0.0
65	0.01
66	-0.05
67	-0.02
68	0.015
69	-0.015
70	-0.03
71	-0.13
72	0.04
73	-0.05
74	-0.035
75	-0.025
76	-0.065
77	0.04
78	-0.03
79	-0.025
80	0.09
81	0.015
82	0.07
83	0.01
84	-0.005
85	-0.075
86	-0.07
87	0.04
88	0.045
89	-0.005
90	-0.065
91	0.005
92	-0.055
93	0.04
94	0.02
95	0.005
96	0.04
97	-0.06
98	-0.085
99	-0.01
